strategy,best_model,accuracy,auc,baseline,improvement,confidence_thresholds
direction,HistGradientBoosting,0.5549645390070922,0.5072492952074104,0.6076487252124646,-0.05268418620537241,"(0.4, 0.6)"
strong_moves,RandomForest,0.5851063829787234,0.6401118193604148,0.40014164305949007,0.18496473991923335,"(0.25, 0.75)"
beat_spy,HistGradientBoosting,0.6436170212765957,0.7094672189318573,0.39907932011331443,0.24453770116328127,"(0.25, 0.75)"
