date,portfolio_value,cash,positions,regime,active_stop_losses,daily_return,cumulative_return,peak,drawdown
2023-01-03,10000.0,10000.0,0,MEDIUM,0,,,10000.0,0.0
2023-01-04,10000.0,10000.0,0,MEDIUM,0,0.0,0.0,10000.0,0.0
2023-01-05,10000.0,10000.0,0,MEDIUM,0,0.0,0.0,10000.0,0.0
2023-01-06,10000.0,10000.0,0,MEDIUM,0,0.0,0.0,10000.0,0.0
2023-01-09,9998.6985,8697.1985,1,MEDIUM,0,-0.00013014999999994004,-0.00013014999999994004,10000.0,-0.0001301499999999578
2023-01-10,10004.4985,8697.1985,1,HIGH,0,0.000580075496825927,0.0004498500000000849,10004.4985,0.0
2023-01-11,10032.0985,8697.1985,1,HIGH,0,0.0027587589722763983,0.0032098500000001806,10032.0985,0.0
2023-01-12,10031.2985,8697.1985,1,MEDIUM,0,-7.974403361366011e-05,0.0031298500000003227,10032.0985,-7.974403361363252e-05
2023-01-13,10044.7985,8697.1985,1,MEDIUM,0,0.0013457878857856542,0.004479850000000285,10044.7985,0.0
2023-01-17,10056.5985,8697.1985,1,MEDIUM,0,0.0011747373528696592,0.005659850000000244,10056.5985,0.0
2023-01-18,10049.2985,8697.1985,1,MEDIUM,0,-0.000725891562639136,0.0049298500000003465,10056.5985,-0.0007258915626391242
2023-01-19,10049.898500000001,8697.1985,1,MEDIUM,0,5.970566005175648e-05,0.0049898500000002954,10056.5985,-0.0006662292424221678
2023-01-20,10075.898500000001,8697.1985,1,MEDIUM,0,0.002587090804947012,0.007589850000000453,10075.898500000001,0.0
2023-01-23,10108.2985,8697.1985,1,MEDIUM,0,0.0032155941229459195,0.010829850000000363,10108.2985,0.0
2023-01-24,10122.4985,8697.1985,1,MEDIUM,0,0.001404786374284317,0.012249850000000118,10122.4985,0.0
2023-01-25,10115.7985,8697.1985,1,MEDIUM,0,-0.0006618919232241893,0.01157985000000017,10122.4985,-0.0006618919232241831
2023-01-26,10136.7985,8697.1985,1,MEDIUM,0,0.0020759606866427305,0.01367985000000016,10136.7985,0.0
2023-01-27,10156.498500000002,8697.1985,1,MEDIUM,0,0.0019434143827561368,0.015649850000000187,10156.498500000002,0.0
2023-01-30,10127.1985,8697.1985,1,MEDIUM,0,-0.002884852491240042,0.012719850000000088,10156.498500000002,-0.0028848524912400753
2023-01-31,10140.0985,8697.1985,1,MEDIUM,0,0.0012737974870344893,0.014009850000000101,10156.498500000002,-0.0016147297220593744
2023-02-01,10151.498500000002,8697.1985,1,MEDIUM,0,0.0011242494340661935,0.015149850000000242,10156.498500000002,-0.0004922956469692778
2023-02-02,10205.3985,8697.1985,1,MEDIUM,0,0.0053095609480706685,0.020539850000000026,10205.3985,0.0
2023-02-03,10240.6535,10240.6535,0,MEDIUM,0,0.0034545441807098953,0.024065350000000096,10240.6535,0.0
2023-02-06,10239.43966,9025.59966,1,HIGH,0,-0.00011853149801432927,0.02394396600000004,10240.6535,-0.00011853149801429623
2023-02-07,10261.56246,10261.56246,0,HIGH,0,0.002160547914200839,0.026156245999999772,10261.56246,0.0
2023-02-08,10260.347099999999,9044.987099999998,1,HIGH,0,-0.00011843810382072828,0.026034709999999794,10261.56246,-0.00011843810382070668
2023-02-09,10251.947099999998,9044.987099999998,1,HIGH,0,-0.0008186857538183823,0.02519470999999962,10261.56246,-0.0009370268940507528
2023-02-10,10253.067099999998,9044.987099999998,1,HIGH,0,0.00010924753991381486,0.025306709999999732,10261.56246,-0.0008278817220200208
2023-02-13,10275.787099999998,9044.987099999998,1,HIGH,0,0.0022159222970461467,0.027578709999999784,10275.787099999998,0.0
