date,symbol,action,shares,price,cost,position_size,confidence,stop_loss,regime,revenue,pnl,return_pct,holding_days,reason,drawdown
2025-02-24,AAPL,SELL,5,247.1,,,0.7584980514331714,,LOW,1234.2645,68.16450000000009,5.845510676614364,18.0,Model sell signal,
2025-02-26,AAPL,BUY,6,240.36,1443.60216,0.12347169381808659,0.8105120987006185,221.13120000000004,MEDIUM,,,,,,
2025-03-10,AAPL,SELL,6,227.48,,,0.8105120987006185,,HIGH,1363.5151199999998,-78.64488000000028,-5.453270094857733,12.0,Model sell signal,
2025-03-18,AAPL,BUY,7,212.69,1490.3188299999997,0.1311568719985438,0.8654062285610273,195.6748,HIGH,,,,,,
2025-03-27,AAPL,SELL,7,223.85,,,0.8654062285610273,,MEDIUM,1565.3830500000001,76.55305000000021,5.141826131929114,9.0,Model sell signal,
2025-04-10,AAPL,BUY,7,190.42,1334.2729399999996,0.12050342575741951,0.7893101839815679,175.1864,HIGH,,,,,,
2025-04-23,AAPL,SELL,7,204.6,,,0.7893101839815679,,HIGH,1430.7678,97.82780000000025,7.339250078773257,13.0,Model sell signal,
2025-05-05,AAPL,BUY,7,198.89,1393.62223,0.12601236505298283,0.8286597503784487,182.9788,HIGH,,,,,,
2025-07-31,AAPL,SELL,7,207.57,,,0.8286597503784487,,LOW,1451.53701,59.30700999999999,4.259857207501634,87.0,Model sell signal,
2025-08-22,AAPL,BUY,6,227.76,1367.9265599999999,0.11638697503038407,0.7599069645027434,209.5392,MEDIUM,,,,,,
2025-09-09,AAPL,SELL,6,234.35,,,0.7599069645027434,,MEDIUM,1404.6939,38.13390000000004,2.7905031612223423,18.0,Model sell signal,
2023-01-04,AMZN,BUY,18,85.14,1534.0525199999997,0.1282044733906068,0.8443176670757628,78.3288,MEDIUM,,,,,,
2023-01-31,AMZN,SELL,18,103.13,,,0.8443176670757628,,HIGH,1854.4836599999999,321.9636599999999,21.00877378435517,27.0,Model sell signal,
2023-03-03,AMZN,BUY,17,94.9,1614.9133,0.13500351076193598,0.8928822197281141,87.308,HIGH,,,,,,
2023-03-16,AMZN,SELL,17,100.04,,,0.8928822197281141,,HIGH,1698.9793200000001,85.67931999999996,5.310811380400419,13.0,Model sell signal,
2023-03-23,AMZN,BUY,15,98.71,1482.1306499999996,0.11883532172794291,0.7773951551995922,90.8132,HIGH,,,,,,
2023-03-30,AMZN,SELL,15,102.0,,,0.7773951551995922,,HIGH,1528.47,47.820000000000164,3.229662648161292,7.0,Model sell signal,
2023-04-11,AMZN,BUY,17,99.92,1700.33864,0.13498221784802655,0.8927301274859039,91.9264,HIGH,,,,,,
2023-05-18,AMZN,SELL,17,118.15,,,0.8927301274859039,,MEDIUM,2006.5414500000002,307.90145000000007,18.126351080864694,37.0,Model sell signal,
2023-05-19,AMZN,BUY,15,116.25,1745.4937499999999,0.13397469497635803,0.8855335355454145,106.95,HIGH,,,,,,
2023-05-31,AMZN,SELL,15,120.58,,,0.8855335355454145,,HIGH,1806.8913,63.1413,3.6210064516129035,12.0,Model sell signal,
2023-06-07,AMZN,BUY,12,121.23,1456.2147599999998,0.11695129591479404,0.7639378279628146,111.53160000000001,HIGH,,,,,,
2023-06-08,AMZN,SELL,12,124.25,,,0.7639378279628146,,HIGH,1489.509,34.749000000000024,2.388641425389757,1.0,Model sell signal,
2023-06-14,AMZN,BUY,12,126.42,1518.5570399999997,0.12216726480495696,0.8011947486068355,116.30640000000001,HIGH,,,,,,
2023-06-22,AMZN,SELL,12,130.15,,,0.8011947486068355,,HIGH,1560.2382000000002,43.19820000000027,2.84753203607026,8.0,Model sell signal,
2023-06-29,AMZN,BUY,13,127.9,1664.3627,0.13193749958835618,0.8709821399168299,117.668,HIGH,,,,,,
2023-07-03,AMZN,SELL,13,130.22,,,0.8709821399168299,,HIGH,1691.1671399999998,28.467139999999745,1.7121032056293826,4.0,Model sell signal,
2023-07-06,AMZN,BUY,14,128.36,1798.83704,0.14462665098860072,0.9616189356328624,118.09120000000001,HIGH,,,,,,
2023-07-13,AMZN,SELL,14,134.3,,,0.9616189356328624,,MEDIUM,1878.3198000000002,81.27980000000002,4.522982237457152,7.0,Model sell signal,
2023-07-21,AMZN,BUY,12,130.0,1561.5599999999997,0.1196975206662114,0.7835537190443671,119.60000000000001,HIGH,,,,,,
2023-08-04,AMZN,SELL,12,139.57,,,0.7835537190443671,,HIGH,1673.16516,113.16516000000001,7.254176923076924,14.0,Model sell signal,
2023-08-24,AMZN,BUY,13,131.84,1715.63392,0.13414231631329976,0.886730830809284,121.29280000000001,MEDIUM,,,,,,
2023-09-11,AMZN,SELL,13,143.1,,,0.886730830809284,,MEDIUM,1858.4397,144.51969999999983,8.43211468446601,18.0,Model sell signal,
2023-09-26,AMZN,BUY,14,125.98,1765.4837199999997,0.13547412685739676,0.8962437632671197,115.9016,HIGH,,,,,,
2023-10-11,AMZN,SELL,14,131.83,,,0.8962437632671197,,HIGH,1843.77438,80.05438000000004,4.538950627083667,15.0,Model sell signal,
2023-10-23,AMZN,BUY,13,126.56,1646.9252799999997,0.12470462756837336,0.8193187683455241,116.43520000000001,HIGH,,,,,,
2023-11-07,AMZN,SELL,13,142.71,,,0.8193187683455241,,HIGH,1853.3747700000001,208.09477000000015,12.647985145385599,15.0,Model sell signal,
2023-11-15,AMZN,BUY,13,143.2,1863.4615999999996,0.14521120931145498,0.9657943522246784,131.744,MEDIUM,,,,,,
2023-11-24,AMZN,SELL,13,146.74,,,0.9657943522246784,,MEDIUM,1905.7123800000002,44.11238000000026,2.3695949720670533,9.0,Model sell signal,
2023-12-11,AMZN,BUY,12,145.89,1752.4306799999997,0.13131457135720176,0.8665326525514412,134.2188,MEDIUM,,,,,,
2023-12-18,AMZN,SELL,12,154.07,,,0.8665326525514412,,MEDIUM,1846.9911599999998,96.31115999999997,5.501357186921652,7.0,Model sell signal,
2024-01-02,AMZN,BUY,12,149.93,1800.9591599999999,0.12945163126512566,0.8532259376080403,137.93560000000002,MEDIUM,,,,,,
2024-01-10,AMZN,SELL,12,153.73,,,0.8532259376080403,,MEDIUM,1842.9152399999998,43.75523999999973,2.431981591409309,8.0,Model sell signal,
